,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
0,Afghanistan,AFG,EMRO,REPORTING,2023-06-13,20013614.0,16987158,51.411,43.637,16280657,41.821999999999996,,2021-02-22,11.0,1977445.0,5.08
1,Albania,ALB,EURO,REPORTING,2023-05-14,3080679.0,1348396,107.0,47.379,1277987,44.905,,2021-01-13,6.0,399190.0,14.027000000000001
2,Algeria,DZA,AFRO,REPORTING,2022-09-04,15267442.0,7840131,34.817,17.879,6481186,14.78,,2021-01-30,4.0,575651.0,1.3130000000000002
3,American Samoa,ASM,WPRO,REPORTING,2023-03-29,114706.0,46206,207.812,83.711,42479,76.959,,2020-12-21,3.0,24160.0,43.77
4,Andorra,AND,EURO,REPORTING,2023-04-09,157038.0,57910,203.2,76.02,53496,70.226,,2021-01-20,4.0,43067.0,56.535
5,Angola,AGO,AFRO,REPORTING,2023-05-21,25552936.0,15745756,77.748,47.909,8821410,26.84,,2021-03-10,1.0,2026768.0,6.167000000000001
6,Anguilla,AIA,AMRO,REPORTING,2023-06-02,24611.0,10854,164.051,72.35,10380,69.191,,2021-02-05,2.0,3046.0,20.304000000000002
7,Antigua and Barbuda,ATG,AMRO,REPORTING,2023-06-02,136512.0,64290,139.399,65.65,62384,63.703,,2021-03-01,6.0,9838.0,10.046
8,Argentina,ARG,AMRO,REPORTING,2022-10-07,109652736.0,41324100,242.61700000000002,91.434,37840119,83.725,,2020-12-29,7.0,30810184.0,68.17
9,Armenia,ARM,EURO,REPORTING,2023-05-14,2156999.0,1122040,72.8,37.865,996169,33.618,,2021-01-27,10.0,44890.0,1.515
10,Aruba,ABW,AMRO,REPORTING,2023-06-02,216974.0,90449,203.22400000000002,84.71700000000001,84297,78.955,,2021-02-17,2.0,35659.0,33.399
11,Australia,AUS,WPRO,REPORTING,2023-03-24,65492360.0,22231907,256.834,87.184,21648824,84.898,,2021-02-21,5.0,14368201.0,56.346000000000004
12,Austria,AUT,EURO,REPORTING,2023-05-14,20401515.0,6899733,229.2,77.625,6682197,75.072,,2020-12-30,10.0,5405548.0,60.729
13,Azerbaijan,AZE,EURO,REPORTING,2023-05-14,13822539.0,5434010,136.3,53.593999999999994,4886266,48.192,,2021-01-20,5.0,3502265.0,34.542
14,Bahamas,BHS,AMRO,REPORTING,2023-06-02,366359.0,174810,93.163,44.453,166972,42.46,,2021-03-14,4.0,33717.0,8.574
15,Bahrain,BHR,EMRO,REPORTING,2022-12-21,3476633.0,1241174,204.31900000000002,72.943,1226796,72.098,,2020-11-04,11.0,1008663.0,59.278
16,Bangladesh,BGD,SEARO,REPORTING,2023-06-11,359443035.0,151357597,218.255,91.905,140583786,85.363,,2021-01-27,8.0,67501652.0,40.986999999999995
17,Barbados,BRB,AMRO,REPORTING,2023-06-02,381721.0,163846,132.83,57.015,155036,53.949,,2021-01-08,5.0,62839.0,21.866999999999997
18,Belarus,BLR,EURO,REPORTING,2023-04-16,21205264.0,6438808,224.4,68.14,6354262,67.24600000000001,,2021-02-03,5.0,5699425.0,60.316
19,Belgium,BEL,EURO,REPORTING,2023-05-14,29117995.0,9254335,252.7,80.316,9158096,79.48100000000001,,2020-12-30,4.0,7244556.0,62.873000000000005
20,Belize,BLZ,AMRO,REPORTING,2023-06-02,510770.0,258456,128.454,64.999,221408,55.681999999999995,,2021-03-01,5.0,50238.0,12.634
21,Benin,BEN,AFRO,REPORTING,2022-12-18,4232541.0,3697190,34.913000000000004,30.497,2742837,22.625,,2021-03-29,5.0,,
22,Bermuda,BMU,AMRO,REPORTING,2023-06-02,132042.0,48554,212.037,77.97,47657,76.529,,2021-01-11,3.0,31829.0,51.111999999999995
23,Bhutan,BTN,SEARO,REPORTING,2022-10-30,2011426.0,699116,260.68,90.605,677669,87.82600000000001,,2021-03-27,5.0,634641.0,82.249
24,Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2023-06-02,16016290.0,7492606,137.208,64.187,6295624,53.933,,2021-01-30,7.0,2487668.0,21.311
25,Bonaire,XAA,AMRO,REPORTING,2023-06-02,43070.0,17460,205.929,83.48100000000001,16189,77.404,,,,8125.0,38.848
26,"Bonaire, Sint Eustatius and Saba",BES,AMRO,OWID,2021-09-01,35845.0,19109,137.934,73.533,16736,64.40100000000001,,,2.0,,
27,Bosnia and Herzegovina,BIH,EURO,REPORTING,2022-01-29,1924950.0,943394,58.7,28.755,846080,25.789,,,4.0,,
28,Botswana,BWA,AFRO,REPORTING,2023-05-07,3171667.0,1951054,134.871,82.96600000000001,1663490,70.738,,2021-03-26,6.0,507654.0,21.587
29,Brazil,BRA,AMRO,REPORTING,2023-06-02,513329718.0,188746389,241.49900000000002,88.79700000000001,171459392,80.664,,2021-01-17,5.0,110382337.0,51.93
30,British Virgin Islands,VGB,AMRO,REPORTING,2023-06-02,41453.0,19466,137.094,64.378,18261,60.393,,2021-02-11,3.0,3726.0,12.323
31,Brunei Darussalam,BRN,WPRO,REPORTING,2023-04-28,1291978.0,451032,295.323,103.098,446630,102.09200000000001,,2021-04-03,5.0,340379.0,77.805
32,Bulgaria,BGR,EURO,REPORTING,2023-05-14,4617676.0,2108296,66.4,30.329,2080070,29.923000000000002,,2020-12-30,4.0,832410.0,11.975
33,Burkina Faso,BFA,AFRO,REPORTING,2023-03-19,6674010.0,5152110,31.928,24.647,4129254,19.754,,2021-06-02,3.0,,
34,Burundi,BDI,AFRO,REPORTING,2023-05-14,39182.0,36909,0.33,0.31,36321,0.305,,2021-10-18,1.0,314.0,0.003
35,Cabo Verde,CPV,AFRO,REPORTING,2022-09-25,859940.0,356734,154.66899999999998,64.16199999999999,308720,55.526,,2021-03-18,4.0,749.0,0.135
36,Cambodia,KHM,WPRO,REPORTING,2023-06-07,47096851.0,15290443,281.697,91.456,14663743,87.70700000000001,,2021-02-10,7.0,10663964.0,63.784
37,Cameroon,CMR,AFRO,REPORTING,2023-05-07,4735141.0,3656503,17.838,13.774000000000001,3107836,11.707,,2021-04-12,4.0,765051.0,2.8819999999999997
38,Canada,CAN,AMRO,REPORTING,2023-06-02,97596974.0,32645232,258.589,86.495,31311576,82.962,,2020-12-14,6.0,19776324.0,52.398999999999994
39,Cayman Islands,CYM,AMRO,REPORTING,2023-06-02,151822.0,62085,231.013,94.469,60664,92.307,,2021-01-15,1.0,24064.0,36.616
40,Central African Republic,CAF,AFRO,REPORTING,2023-05-21,2914105.0,2381935,60.336000000000006,49.318000000000005,2266531,46.928000000000004,,2021-03-19,2.0,226816.0,4.696000000000001
41,Chad,TCD,AFRO,REPORTING,2023-05-14,8547802.0,6254729,52.038999999999994,38.079,6127422,37.303000000000004,,2021-06-04,1.0,4042573.0,24.611
42,Chile,CHL,AMRO,REPORTING,2023-06-02,66273384.0,18106832,346.68699999999995,94.72,17716364,92.677,,2020-12-21,5.0,15766986.0,82.48
43,China,CHN,WPRO,REPORTING,2023-03-23,3515872818.0,1317994878,238.96599999999998,89.581,1284413713,87.29899999999999,,2020-07-22,8.0,833820382.0,56.673
44,Colombia,COL,AMRO,REPORTING,2023-06-02,90506612.0,43012174,177.872,84.53200000000001,37019801,72.755,,2021-02-17,5.0,14792792.0,29.072
45,Comoros,COM,AFRO,REPORTING,2022-10-02,835021.0,438825,96.023,50.463,397080,45.662,,2021-04-10,3.0,,
46,Congo,COG,AFRO,REPORTING,2022-07-31,833210.0,695760,15.1,12.609000000000002,654119,11.854000000000001,,2021-03-23,4.0,,
47,Cook Islands,COK,WPRO,REPORTING,2023-01-31,40080.0,15112,228.19400000000002,86.04,14728,83.853,,2021-05-17,1.0,10240.0,58.301
48,Costa Rica,CRI,AMRO,REPORTING,2023-06-02,13371989.0,4641899,262.499,91.12299999999999,4358863,85.56700000000001,,2020-12-24,3.0,2957974.0,58.066
49,Côte d’Ivoire,CIV,AFRO,REPORTING,2023-02-19,25263932.0,13568372,95.77600000000001,51.438,12164304,46.115,,2021-03-01,5.0,3138712.0,11.899000000000001
50,Croatia,HRV,EURO,REPORTING,2023-05-14,5432534.0,2320087,133.9,57.205,2246484,55.357,,2020-12-23,6.0,994329.0,24.502
51,Cuba,CUB,AMRO,REPORTING,2023-06-02,38105906.0,10749013,336.42800000000005,94.9,10016328,88.432,,,3.0,8742146.0,77.182
52,Curaçao,CUW,AMRO,REPORTING,2023-06-02,260324.0,108601,158.644,66.183,100885,61.48,,2021-02-24,3.0,43138.0,26.289
53,Cyprus,CYP,EURO,REPORTING,2023-05-14,1858796.0,669185,209.3,75.366,656113,73.88600000000001,,2020-12-23,5.0,487363.0,54.883
54,Czechia,CZE,EURO,REPORTING,2023-05-14,18614118.0,6972084,174.1,65.197,6887797,64.408,,2020-12-23,9.0,4365578.0,40.823
55,Democratic Republic of the Congo,COD,AFRO,REPORTING,2023-04-16,16398195.0,15388889,18.309,17.183,12873681,14.374,,2021-04-19,1.0,,
56,Denmark,DNK,EURO,REPORTING,2023-05-14,15002820.0,4771581,257.7,81.947,4736323,81.342,,2020-12-16,5.0,3638964.0,62.495
57,Djibouti,DJI,EMRO,REPORTING,2023-04-18,392703.0,372077,39.747,37.66,351712,35.598,,2021-03-15,11.0,,
58,Dominica,DMA,AMRO,REPORTING,2023-06-02,67647.0,32995,93.96600000000001,45.832,30659,42.586999999999996,,2021-02-12,5.0,3993.0,5.547000000000001
59,Dominican Republic,DOM,AMRO,REPORTING,2023-06-02,15972891.0,7322815,147.244,67.50399999999999,6095810,56.193000000000005,,2021-02-16,5.0,2554266.0,23.546
60,Ecuador,ECU,AMRO,REPORTING,2023-02-24,39495110.0,15329151,223.856,86.885,14233323,80.67399999999999,,2021-01-20,4.0,7708466.0,43.691
61,Egypt,EGY,EMRO,REPORTING,2023-05-21,112673535.0,56907319,110.103,55.608999999999995,42337175,41.371,,2021-01-24,10.0,15217352.0,14.87
62,El Salvador,SLV,AMRO,REPORTING,2023-06-02,11426688.0,4656627,176.169,71.793,4393762,67.74,,2021-02-17,6.0,1898202.0,29.265
63,Equatorial Guinea,GNQ,AFRO,REPORTING,2022-07-24,488738.0,270109,34.836,19.252,214032,15.255,,2021-02-12,2.0,4597.0,0.32799999999999996
64,Eritrea,ERI,AFRO,REPORTING,2022-07-03,,0,,0.0,0,0.0,,,,,
65,Estonia,EST,EURO,REPORTING,2023-04-16,2204078.0,845066,165.8,63.588,842103,63.365,,2020-12-23,9.0,487178.0,36.658
66,Eswatini,SWZ,AFRO,REPORTING,2023-05-21,867487.0,526050,74.773,45.343,426134,36.73,,2021-03-19,3.0,177344.0,15.286
67,Ethiopia,ETH,AFRO,REPORTING,2023-05-07,54041862.0,44073766,47.008,38.336999999999996,37637944,32.739000000000004,,2021-03-13,4.0,2855358.0,2.484
68,Falkland Islands (Malvinas),FLK,AMRO,REPORTING,2022-06-21,9390.0,3220,269.595,92.449,2976,85.444,,,1.0,2543.0,73.012
69,Faroe Islands,FRO,EURO,OWID,2022-02-18,103894.0,41715,212.614,85.368,40895,83.69,,,2.0,21284.0,43.556999999999995
70,Fiji,FJI,WPRO,REPORTING,2023-04-27,1555182.0,712025,173.483,79.428,641194,71.52600000000001,,2021-03-07,3.0,172046.0,19.192
71,Finland,FIN,EURO,REPORTING,2023-05-14,13261002.0,4547283,240.0,82.29899999999999,4364702,78.995,,2020-12-23,5.0,3087911.0,55.887
72,France,FRA,EURO,REPORTING,2023-05-14,158014193.0,54673588,234.7,81.214,53184085,79.002,,2020-12-23,9.0,41033495.0,60.953
73,French Guiana,GUF,AMRO,REPORTING,2023-06-02,242193.0,100299,81.087,33.580999999999996,90464,30.288,,2021-01-13,3.0,46331.0,15.512
74,French Polynesia,PYF,WPRO,REPORTING,2023-05-01,480028.0,190908,170.88400000000001,67.961,186803,66.5,,2021-01-18,2.0,102317.0,36.424
75,Gabon,GAB,AFRO,REPORTING,2023-02-05,572672.0,311244,25.73,13.984000000000002,257471,11.568,,2021-03-23,3.0,2592.0,0.11599999999999999
76,Gambia,GMB,AFRO,REPORTING,2023-03-19,1444492.0,674314,59.772,27.903000000000002,539186,22.311,,2021-03-10,2.0,53741.0,2.224
77,Georgia,GEO,EURO,REPORTING,2023-04-16,2738178.0,1300473,68.6,32.6,1186709,29.748,,2021-03-17,4.0,250996.0,6.292000000000001
78,Germany,DEU,EURO,REPORTING,2023-05-14,193232623.0,64867380,232.3,77.997,63564301,76.43,,2020-12-23,9.0,52141945.0,62.696000000000005
79,Ghana,GHA,AFRO,REPORTING,2023-03-26,22384226.0,13221421,72.038,42.55,10170298,32.73,,2021-03-02,2.0,4062970.0,13.075999999999999
80,Gibraltar,GIB,EURO,OWID,2022-12-16,132810.0,42175,394.2,125.182,41465,123.074,,,2.0,49170.0,145.944
81,Greece,GRC,EURO,REPORTING,2023-05-14,21982946.0,7916291,205.1,73.85600000000001,7744496,72.253,,2020-12-23,7.0,5902227.0,55.065
82,Greenland,GRL,EURO,OWID,2022-03-14,79738.0,41227,140.453,72.619,38511,67.834,,,1.0,,
83,Grenada,GRD,AMRO,REPORTING,2023-06-02,90686.0,44241,80.593,39.317,39034,34.69,,2021-02-15,5.0,7411.0,6.586
84,Guadeloupe,GLP,AMRO,REPORTING,2023-06-02,400129.0,152113,100.001,38.016,146098,36.513000000000005,,2021-01-08,7.0,89009.0,22.245
85,Guam,GUM,WPRO,REPORTING,2023-01-31,352698.0,135612,208.975,80.351,128788,76.308,,2021-01-04,3.0,83603.0,49.535
86,Guatemala,GTM,AMRO,REPORTING,2023-06-02,20370595.0,8935137,113.70299999999999,49.873999999999995,7127944,39.786,,2021-02-25,5.0,3719543.0,20.761999999999997
87,Guernsey,GGY,EURO,OWID,2022-12-19,178525.0,54223,276.92,84.10799999999999,52710,81.76100000000001,,,3.0,69339.0,107.556
88,Guinea,GIN,AFRO,REPORTING,2023-04-02,10645240.0,7679918,81.058,58.479,4725982,35.986,,2021-03-05,6.0,302545.0,2.3040000000000003
89,Guinea-Bissau,GNB,AFRO,REPORTING,2023-05-21,824250.0,733271,41.883,37.26,533741,27.121,,2021-04-02,2.0,48801.0,2.48
90,Guyana,GUY,AMRO,REPORTING,2023-06-02,960133.0,495285,122.069,62.968999999999994,381984,48.56399999999999,,2021-02-11,7.0,77874.0,9.901
91,Haiti,HTI,AMRO,REPORTING,2023-06-02,664150.0,521396,5.825,4.573,350403,3.073,,,2.0,,
92,Honduras,HND,AMRO,REPORTING,2023-06-02,16901540.0,6485671,170.643,65.48100000000001,5751048,58.06399999999999,,2021-02-22,6.0,4665196.0,47.101000000000006
93,Hungary,HUN,EURO,REPORTING,2023-05-14,16569954.0,6358513,169.6,65.085,6151876,62.97,,2020-12-23,8.0,3868577.0,39.598
94,Iceland,ISL,EURO,REPORTING,2023-04-16,869976.0,307269,238.9,84.40299999999999,297921,81.816,,2020-12-30,5.0,254556.0,69.907
95,India,IND,SEARO,REPORTING,2023-05-30,2206710296.0,1025819990,159.906,74.335,952117967,68.994,,2021-01-16,8.0,228772339.0,16.578
96,Indonesia,IDN,SEARO,REPORTING,2023-06-06,447595845.0,203845350,163.641,74.52600000000001,174893201,63.941,,2021-01-13,7.0,68857294.0,25.174
97,Iran (Islamic Republic of),IRN,EMRO,REPORTING,2023-05-23,155369703.0,65176523,184.979,77.598,58562317,69.723,,2021-02-09,12.0,28562352.0,34.006
98,Iraq,IRQ,EMRO,REPORTING,2023-01-02,19557364.0,11332925,48.623000000000005,28.176,7944775,19.752,,2021-03-02,10.0,275280.0,0.684
99,Ireland,IRL,EURO,REPORTING,2023-05-14,12377654.0,4107919,249.3,85.49,4062518,81.832,,2020-12-30,5.0,3056320.0,61.56399999999999
100,Isle of Man,IMN,EURO,OWID,2022-06-23,189994.0,69560,223.438,81.804,67106,78.919,,,3.0,53328.0,62.715
101,Israel,ISR,EURO,REPORTING,2022-06-05,15026951.0,7055466,173.6,81.514,6385731,73.77600000000001,,2020-12-16,3.0,1585754.0,18.320999999999998
102,Italy,ITA,EURO,REPORTING,2023-05-14,150311519.0,50580760,252.0,84.81200000000001,49483812,82.969,,2020-12-23,9.0,44914882.0,75.308
103,Jamaica,JAM,AMRO,REPORTING,2023-06-02,1525895.0,858035,51.53,28.976,758800,25.625,,2021-03-10,6.0,45995.0,1.5530000000000002
104,Japan,JPN,WPRO,REPORTING,2023-06-06,392346325.0,104715237,310.21299999999997,82.794,103392920,81.749,,2021-02-17,4.0,86527378.0,68.414
105,Jersey,JEY,EURO,OWID,2023-01-29,266953.0,84365,247.646,78.264,81882,75.96,,,3.0,73662.0,68.335
106,Jordan,JOR,EMRO,REPORTING,2022-08-21,10057975.0,4821579,98.57700000000001,47.256,4558313,44.676,,2021-01-13,10.0,682211.0,6.686
107,Kazakhstan,KAZ,EURO,REPORTING,2023-03-26,33732027.0,12385925,179.6,65.964,13067200,69.593,,2021-04-07,5.0,6756767.0,35.985
108,Kenya,KEN,AFRO,REPORTING,2023-04-02,23750431.0,14494372,44.169,26.956,11090440,20.625,,2021-03-05,5.0,2000636.0,3.721
109,Kiribati,KIR,WPRO,REPORTING,2023-02-06,219980.0,100900,184.162,84.471,81474,68.208,,2021-05-26,2.0,37606.0,31.483
110,Kosovo,XKX,EURO,REPORTING,2023-01-15,1836901.0,904558,102.3,50.375,824752,45.93,,2021-03-31,2.0,105624.0,5.882000000000001
111,Kuwait,KWT,EMRO,REPORTING,2023-06-13,8260485.0,3457124,193.428,80.952,3345838,78.346,,2020-12-28,10.0,1457523.0,34.129
112,Kyrgyzstan,KGZ,EURO,REPORTING,2023-04-16,3111072.0,1508959,47.7,23.129,1326178,20.327,,2021-03-31,6.0,275935.0,4.229
113,Lao People's Democratic Republic,LAO,WPRO,REPORTING,2023-05-21,13879410.0,6324678,190.768,86.93,5691962,78.234,,2020-11-25,8.0,2451034.0,33.689
