,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
114,Latvia,LVA,EURO,REPORTING,2023-05-14,2978080.0,1344301,156.1,70.468,1304678,68.391,,2020-12-30,9.0,550533.0,28.859
115,Lebanon,LBN,EMRO,REPORTING,2022-12-22,5814699.0,2740227,85.19200000000001,40.147,2414223,35.371,,2021-02-14,10.0,660249.0,9.673
116,Lesotho,LSO,AFRO,REPORTING,2023-03-19,1339097.0,1014073,62.50899999999999,47.336999999999996,938088,43.79,,2021-03-10,3.0,177816.0,8.3
117,Liberia,LBR,AFRO,REPORTING,2022-12-11,4460668.0,3903802,88.196,77.186,3730967,73.768,,2021-04-01,1.0,1987.0,0.039
118,Libya,LBY,EMRO,REPORTING,2023-01-16,3739158.0,2316327,54.417,33.71,1236102,17.989,,2021-04-11,10.0,186729.0,2.718
119,Liechtenstein,LIE,OTHER,REPORTING,2022-04-10,71104.0,26681,183.5,68.86,26346,67.995,,2021-01-06,3.0,18310.0,47.255
120,Lithuania,LTU,EURO,REPORTING,2023-05-14,4532276.0,1956451,162.2,70.175,1907015,68.252,,2020-12-23,5.0,902024.0,32.283
121,Luxembourg,LUX,EURO,REPORTING,2023-05-14,1337742.0,469267,213.7,74.95,462709,73.902,,2020-12-30,8.0,368474.0,58.852
122,Madagascar,MDG,AFRO,REPORTING,2023-05-21,2973152.0,2580188,10.737,9.318,2519918,9.1,,2021-05-10,3.0,156776.0,0.5660000000000001
123,Malawi,MWI,AFRO,REPORTING,2023-05-21,8168028.0,5234809,42.698,27.364,4092667,21.394000000000002,,2021-03-11,2.0,1106940.0,5.7860000000000005
124,Malaysia,MYS,WPRO,REPORTING,2023-06-04,72628221.0,28137456,224.39700000000002,86.935,27550446,85.12200000000001,,2021-02-24,8.0,16336757.0,50.475
125,Maldives,MDV,SEARO,REPORTING,2023-05-25,951764.0,399308,176.075,73.872,385167,71.255,,2021-02-01,8.0,167289.0,30.948
126,Mali,MLI,AFRO,REPORTING,2023-05-14,5922585.0,4354292,29.246,21.502,3633589,17.942999999999998,,2021-03-31,1.0,,
127,Malta,MLT,EURO,REPORTING,2023-05-14,1280134.0,450522,248.8,87.554,444899,86.461,,2020-12-23,4.0,352628.0,68.529
128,Marshall Islands,MHL,WPRO,REPORTING,2023-03-24,110742.0,47077,187.083,79.53,40689,68.738,,2020-12-29,3.0,18559.0,31.353
129,Martinique,MTQ,AMRO,REPORTING,2023-06-02,401816.0,150795,107.075,40.184,145536,38.782,,,2.0,92919.0,24.761
130,Mauritania,MRT,AFRO,REPORTING,2023-05-14,4068530.0,2101236,87.50200000000001,45.191,1538089,33.08,,2021-03-26,2.0,383866.0,8.256
131,Mauritius,MUS,AFRO,REPORTING,2023-05-21,2615218.0,1123773,205.636,88.363,1088142,85.561,,2021-01-26,3.0,640398.0,50.355
132,Mexico,MEX,AMRO,REPORTING,2023-06-02,222226293.0,96727823,172.358,75.02199999999999,81346379,63.092,,2020-12-24,8.0,57014052.0,44.22
133,Micronesia (Federated States of),FSM,WPRO,REPORTING,2023-03-28,198749.0,83871,172.791,72.917,80910,70.342,,2021-01-13,4.0,30537.0,26.549
134,Monaco,MCO,EURO,REPORTING,2022-12-04,71027.0,25319,181.0,64.517,24933,63.533,,2021-06-30,7.0,17806.0,45.373000000000005
135,Mongolia,MNG,WPRO,REPORTING,2023-03-17,5668144.0,2284018,172.899,69.671,2185282,66.65899999999999,,2021-02-23,6.0,1058839.0,32.299
136,Montenegro,MNE,EURO,REPORTING,2022-12-04,523735.0,272152,83.4,43.763000000000005,251583,40.455999999999996,,2021-02-24,5.0,0.0,0.0
137,Montserrat,MSR,AMRO,REPORTING,2023-06-02,4619.0,2104,92.398,42.088,1952,39.048,,2021-02-08,2.0,563.0,11.262
138,Morocco,MAR,EMRO,REPORTING,2023-05-14,55389602.0,25020168,150.064,67.786,23521989,63.727,,2021-01-28,10.0,6884356.0,18.651
139,Mozambique,MOZ,AFRO,REPORTING,2023-04-23,29457535.0,19939353,94.24799999999999,63.795,19765811,63.24,,2021-03-08,3.0,1260643.0,4.033
140,Myanmar,MMR,SEARO,REPORTING,2022-06-18,64549994.0,34777314,118.637,63.917,27545329,50.626000000000005,,2021-01-27,2.0,2227351.0,4.093999999999999
141,Namibia,NAM,AFRO,REPORTING,2023-05-14,990462.0,616314,38.981,24.256,538776,21.204,,2021-03-19,4.0,298560.0,11.75
142,Nauru,NRU,WPRO,REPORTING,2023-02-20,32157.0,13106,296.816,120.971,11346,104.726,,2021-04-09,2.0,7705.0,71.119
143,Nepal,NPL,SEARO,REPORTING,2023-06-13,62069210.0,27804084,213.02700000000002,95.426,24387074,83.699,,2021-01-27,8.0,9878052.0,33.902
144,Netherlands,NLD,EURO,REPORTING,2022-09-11,36105753.0,12776868,207.4,73.398,11957152,68.689,,2021-01-06,6.0,9417108.0,54.098
145,New Caledonia,NCL,WPRO,REPORTING,2023-04-03,480497.0,192371,168.301,67.381,184801,64.729,,2021-01-20,2.0,103325.0,36.191
146,New Zealand,NZL,WPRO,REPORTING,2023-04-21,12252378.0,4241210,254.081,87.95100000000001,4084115,84.693,,2021-02-19,4.0,2719283.0,56.391000000000005
147,Nicaragua,NIC,AMRO,REPORTING,2023-06-02,15498213.0,6404524,233.951,96.679,6117158,92.34100000000001,,2021-03-03,11.0,2892531.0,43.663999999999994
148,Niger,NER,AFRO,REPORTING,2023-03-12,7339299.0,6217508,30.319000000000003,25.685,5454196,22.531999999999996,,2021-03-29,2.0,,
149,Nigeria,NGA,AFRO,REPORTING,2023-03-19,116606863.0,82325196,56.567,39.937,69793071,33.857,,2021-03-05,1.0,12313372.0,5.973
150,Niue,NIU,WPRO,REPORTING,2023-03-04,4923.0,1638,304.265,101.236,1635,101.051,,2021-06-08,1.0,1225.0,75.711
151,North Macedonia,MKD,EURO,REPORTING,2023-05-07,1862987.0,854570,89.4,41.159,838181,40.37,,2021-02-17,7.0,161633.0,7.785
152,Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2023-05-30,123536.0,46824,214.632,81.352,45953,79.839,,2020-12-19,3.0,26121.0,45.383
153,Norway,NOR,EURO,REPORTING,2023-05-14,12333824.0,4347099,229.8,80.988,4062092,75.678,,2020-12-23,4.0,3020359.0,56.27
154,occupied Palestinian territory,PSE,EMRO,REPORTING,2022-10-18,3748571.0,2012767,73.48100000000001,39.455,1776973,34.833,,2021-02-02,10.0,336967.0,6.605
155,Oman,OMN,EMRO,REPORTING,2022-10-25,7086050.0,3257365,138.762,63.787,3048826,59.703,,2020-12-29,11.0,779859.0,15.272
156,Pakistan,PAK,EMRO,REPORTING,2023-06-11,339286324.0,165554838,153.59799999999998,74.94800000000001,140456876,63.586000000000006,,2021-02-03,11.0,51496602.0,23.313000000000002
157,Palau,PLW,WPRO,REPORTING,2023-03-10,51032.0,18573,282.069,102.65899999999999,18278,101.02799999999999,,2021-01-03,3.0,12885.0,71.219
158,Panama,PAN,AMRO,REPORTING,2023-06-02,8901881.0,3533579,206.312,81.895,3174229,73.567,,2021-01-20,2.0,1769698.0,41.015
159,Papua New Guinea,PNG,WPRO,REPORTING,2023-06-04,532983.0,390289,5.957000000000001,4.362,329329,3.681,,2021-03-30,4.0,35747.0,0.4
160,Paraguay,PRY,AMRO,REPORTING,2023-06-02,9784169.0,3995915,137.17700000000002,56.023999999999994,3547736,49.74,,2021-02-22,8.0,1660692.0,23.283
161,Peru,PER,AMRO,REPORTING,2023-06-02,89593907.0,30487563,271.728,92.465,28654963,86.90700000000001,,2021-02-09,4.0,22143074.0,67.158
162,Philippines,PHL,WPRO,REPORTING,2023-03-19,189317158.0,82684774,172.764,75.455,78443972,71.585,,2021-03-01,11.0,23811248.0,21.729
163,Pitcairn Islands,PCN,WPRO,REPORTING,2022-08-29,117.0,47,234.0,94.0,47,94.0,,2021-05-17,1.0,23.0,46.0
164,Poland,POL,EURO,REPORTING,2023-05-14,58206296.0,22982713,153.3,60.548,22703730,59.813,,2020-12-23,5.0,12530960.0,33.013000000000005
165,Portugal,PRT,EURO,REPORTING,2023-05-14,27771091.0,9786666,269.7,95.215,8901440,86.456,,2020-12-23,12.0,7053415.0,68.507
166,Puerto Rico,PRI,AMRO,REPORTING,2023-06-02,7846764.0,2905470,274.281,101.56,2688410,93.97200000000001,,,4.0,1808780.0,63.225
167,Qatar,QAT,EMRO,REPORTING,2023-05-07,7609178.0,2852178,264.111,98.99799999999999,2852178,98.99799999999999,,,10.0,1904822.0,66.115
168,Republic of Korea,KOR,WPRO,REPORTING,2023-05-25,135852851.0,44894318,264.98,87.566,42969958,83.81200000000001,,2021-02-26,5.0,33643904.0,65.622
169,Republic of Moldova,MDA,EURO,REPORTING,2023-05-14,2287894.0,1108735,56.7,27.485,1078250,26.729,,2021-03-03,7.0,402330.0,9.974
170,Romania,ROU,EURO,REPORTING,2023-05-07,16110007.0,8187839,83.3,42.361000000000004,8142015,42.123999999999995,,2021-01-27,4.0,1768563.0,9.15
171,Russian Federation,RUS,EURO,OWID,2023-05-26,186678610.0,88798804,127.9,60.848,79701705,54.615,,,2.0,,
172,Rwanda,RWA,AFRO,REPORTING,2023-01-01,26106436.0,10572981,201.56,81.631,9897876,76.418,,2021-03-05,7.0,5879013.0,45.39
173,Saba,XCA,AMRO,REPORTING,2023-06-02,4979.0,1687,257.579,87.274,1667,86.23899999999999,,,,1170.0,60.528
174,"Saint Helena, Ascension and Tristan da Cunha",SHN,AFRO,OWID,2021-05-05,7892.0,4361,129.995,71.833,3531,58.162,,,1.0,,
175,Saint Kitts and Nevis,KNA,AMRO,REPORTING,2023-06-02,64297.0,33794,120.87700000000001,63.532,27000,50.76,,2021-02-22,3.0,3465.0,6.513999999999999
176,Saint Lucia,LCA,AMRO,REPORTING,2023-06-02,122977.0,60140,66.971,32.751,54971,29.936,,2021-02-17,5.0,7866.0,4.284
177,Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2023-06-02,73443.0,37532,66.20100000000001,33.830999999999996,31632,28.513,,2021-02-01,5.0,4279.0,3.8569999999999998
178,Samoa,WSM,WPRO,REPORTING,2023-02-24,453130.0,191403,228.37599999999998,96.46600000000001,177954,89.68799999999999,,2021-04-18,2.0,82268.0,41.463
179,San Marino,SMR,EURO,REPORTING,2022-05-22,69338.0,26357,204.3,76.501,23633,68.595,,2021-02-24,2.0,19348.0,56.158
180,Sao Tome and Principe,STP,AFRO,REPORTING,2023-05-07,262837.0,140256,119.93,63.997,111986,51.098,,2021-03-15,2.0,34494.0,15.739
181,Saudi Arabia,SAU,EMRO,REPORTING,2023-04-25,68534631.0,27041364,196.86,77.67399999999999,25433941,73.057,,2021-01-06,10.0,16059326.0,46.129
182,Senegal,SEN,AFRO,REPORTING,2023-05-07,2936343.0,2684696,17.537,16.034000000000002,1442833,8.617,,2021-02-23,3.0,815965.0,4.873
183,Serbia,SRB,EURO,REPORTING,2023-03-05,6722671.0,3398116,97.1,49.058,3324555,47.996,,2020-12-23,5.0,0.0,0.0
184,Seychelles,SYC,AFRO,REPORTING,2023-04-09,224558.0,88520,228.332,90.008,83565,84.97,,2021-01-10,4.0,44936.0,45.691
185,Sierra Leone,SLE,AFRO,REPORTING,2023-05-21,8124614.0,5252127,101.851,65.84100000000001,4474092,56.088,,2021-03-15,2.0,865598.0,10.850999999999999
186,Singapore,SGP,WPRO,REPORTING,2023-05-30,15289876.0,5285826,261.35,90.351,5247569,89.697,,2020-12-30,4.0,4756481.0,81.303
187,Sint Eustatius,XBA,AMRO,REPORTING,2023-06-02,4319.0,1791,137.592,57.056000000000004,1686,53.711000000000006,,,,767.0,24.435
188,Sint Maarten,SXM,AMRO,REPORTING,2023-06-02,66829.0,29788,155.844,69.465,26773,62.434,,2021-02-22,3.0,9146.0,21.328000000000003
189,Slovakia,SVK,EURO,REPORTING,2023-05-14,7220974.0,2839390,132.3,52.023999999999994,2791155,51.14,,2020-12-23,7.0,1686204.0,30.895
190,Slovenia,SVN,EURO,REPORTING,2023-05-14,3009930.0,1223424,143.6,58.373000000000005,1193132,56.928000000000004,,2020-12-23,8.0,650669.0,31.045
191,Solomon Islands,SLB,WPRO,REPORTING,2023-04-30,610594.0,334834,88.89299999999999,48.747,252585,36.773,,2021-03-23,4.0,27444.0,3.995
192,Somalia,SOM,EMRO,REPORTING,2023-04-30,9443849.0,8370355,59.42100000000001,52.666000000000004,7035193,44.265,,2021-03-16,11.0,,
193,South Africa,ZAF,AFRO,REPORTING,2023-05-14,38841308.0,24209938,65.49,40.82,21038797,35.473,,2021-02-17,2.0,4377439.0,7.381
194,South Sudan,SSD,AFRO,REPORTING,2023-05-07,4312900.0,4262480,38.53,38.079,4220606,37.705,,2021-04-06,2.0,440238.0,3.9330000000000003
195,Spain,ESP,EURO,REPORTING,2023-05-14,112806846.0,41326543,238.3,87.311,37482295,79.189,,2020-12-30,4.0,26557455.0,56.108000000000004
196,Sri Lanka,LKA,SEARO,REPORTING,2022-10-30,40116590.0,17143761,187.345,80.061,14752827,68.896,,2021-01-29,6.0,8220002.0,38.387
197,Sudan,SDN,EMRO,REPORTING,2023-04-02,22598737.0,15207452,51.537,34.681,13416394,30.596999999999998,,2021-03-09,11.0,3891363.0,8.874
198,Suriname,SUR,AMRO,REPORTING,2023-06-02,554588.0,267820,94.538,45.653999999999996,237879,40.55,,2021-02-23,5.0,48889.0,8.334
199,Sweden,SWE,EURO,REPORTING,2023-05-14,23221955.0,7470334,224.9,72.334,7332646,71.001,,2020-12-23,5.0,5540679.0,53.648999999999994
200,Switzerland,CHE,EURO,REPORTING,2023-05-14,16754460.0,6096538,193.6,70.84,5722923,66.499,,2020-12-23,6.0,4995324.0,58.044
201,Syrian Arab Republic,SYR,EMRO,REPORTING,2023-04-18,5090630.0,3295630,29.088,18.831,2358365,13.475999999999999,,2021-04-01,11.0,75881.0,0.434
202,Tajikistan,TJK,EURO,REPORTING,2022-12-04,18871161.0,5311967,197.9,55.695,5170582,54.211999999999996,,2021-03-24,6.0,5200841.0,54.53
203,Thailand,THA,SEARO,REPORTING,2023-06-02,139247715.0,57644662,199.495,82.586,54175237,77.615,,2021-02-28,8.0,27427816.0,39.295
204,The United Kingdom,GBR,EURO,REPORTING,2022-09-11,151248820.0,53813491,222.8,79.068,50762968,74.586,,2020-12-21,3.0,,
205,Timor-Leste,TLS,SEARO,REPORTING,2023-06-13,2018793.0,884036,153.119,67.051,799518,60.641000000000005,,2021-04-07,4.0,335239.0,25.427
206,Togo,TGO,AFRO,REPORTING,2023-04-02,3401991.0,2246404,41.093,27.135,1554066,18.772000000000002,,2021-03-10,1.0,427804.0,5.167999999999999
207,Tokelau,TKL,WPRO,REPORTING,2022-12-05,6342.0,2203,469.778,163.185,2203,163.185,,2021-07-20,1.0,968.0,71.704
208,Tonga,TON,WPRO,REPORTING,2023-04-30,204640.0,87345,193.614,82.639,77366,73.197,,2021-04-14,2.0,38545.0,36.468
209,Trinidad and Tobago,TTO,AMRO,REPORTING,2023-06-02,1589640.0,754399,113.587,53.905,718969,51.373999999999995,,2021-02-17,5.0,174836.0,12.493
210,Tunisia,TUN,EMRO,REPORTING,2023-06-13,13253094.0,7218855,112.137,61.08,6401705,54.166000000000004,,2021-03-13,10.0,1258521.0,10.649000000000001
211,Turkey,TUR,EURO,REPORTING,2023-01-29,139694693.0,50974980,,61.919,50670345,60.935,,,3.0,27896331.0,33.547
212,Turkmenistan,TKM,EURO,REPORTING,2023-02-05,13040514.0,3359468,216.2,55.702,3358426,55.684,,2021-02-24,7.0,3171535.0,52.586000000000006
213,Turks and Caicos Islands,TCA,AMRO,REPORTING,2023-06-02,73907.0,32815,190.885,84.75399999999999,30710,79.317,,2021-01-11,1.0,7443.0,19.224
214,Tuvalu,TUV,WPRO,REPORTING,2023-02-01,26783.0,9763,227.12900000000002,82.79299999999999,9505,80.605,,2021-04-13,1.0,5745.0,48.718999999999994
215,Uganda,UGA,AFRO,REPORTING,2023-03-26,26406936.0,19488104,57.731,42.605,13043107,28.515,,2021-03-10,5.0,745313.0,1.629
216,Ukraine,UKR,EURO,REPORTING,2022-02-27,31668577.0,15774300,72.4,36.069,15153577,34.65,,2021-02-24,6.0,741197.0,1.695
217,United Arab Emirates,ARE,EMRO,REPORTING,2022-07-06,24922054.0,9991089,251.982,101.01799999999999,9792266,99.008,,,11.0,5138699.0,51.956
218,United Republic of Tanzania,TZA,AFRO,REPORTING,2023-03-12,39392419.0,34434933,65.946,57.647,32165791,53.848,,2021-07-28,3.0,,
219,United States of America,USA,AMRO,REPORTING,2023-06-02,668882018.0,267321711,202.078,80.76100000000001,227948938,68.866,,2020-12-14,4.0,116629517.0,35.235
220,Uruguay,URY,AMRO,REPORTING,2023-06-02,9023199.0,3009801,259.755,86.645,2902437,83.554,,2021-02-27,3.0,2079949.0,59.876999999999995
221,Uzbekistan,UZB,EURO,REPORTING,2023-04-16,75807715.0,21717290,226.5,64.887,18147665,54.222,,2021-04-28,9.0,15454425.0,46.175
222,Vanuatu,VUT,WPRO,REPORTING,2023-02-20,355430.0,176624,115.721,57.505,162250,52.825,,2021-06-02,3.0,16556.0,5.39
223,Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2023-06-02,37860994.0,22157232,133.145,77.92,14287370,50.244,,2021-02-22,6.0,651502.0,2.291
224,Viet Nam,VNM,WPRO,REPORTING,2023-06-08,266448231.0,90270583,273.733,92.73899999999999,85958364,88.309,,2021-03-08,6.0,57958886.0,59.544
225,Wallis and Futuna,WLF,WPRO,REPORTING,2023-01-23,17303.0,7150,153.859,63.578,6803,60.493,,2021-03-19,1.0,3350.0,29.788
226,Yemen,YEM,EMRO,REPORTING,2023-04-18,1275368.0,1032545,4.276,3.4619999999999997,788707,2.6439999999999997,,2021-04-20,11.0,63989.0,0.215
227,Zambia,ZMB,AFRO,REPORTING,2023-04-09,13614983.0,11637730,74.059,63.303999999999995,9147920,49.76,,2021-04-14,3.0,1137360.0,6.187
228,Zimbabwe,ZWE,AFRO,REPORTING,2023-05-14,13935112.0,7208256,93.758,48.498000000000005,5386882,36.244,,2021-02-18,4.0,2002841.0,13.475
